"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2020,5,1,454,500,-6,944,950,-6,"WN",194,"N216WR","LAX","AUS",150,1242,5,0,2020-05-01 05:00:00
2020,5,1,553,600,-7,838,853,-15,"DL",146,"N37700","LAX","SLC",79,590,6,0,2020-05-01 06:00:00
2020,5,1,554,603,-9,1133,1200,-27,"AA",165,"N815AA","LAX","ORD",197,1744,6,3,2020-05-01 06:00:00
2020,5,1,606,615,-9,725,746,-21,"OO",269,"N199SY","LAX","SFO",56,337,6,15,2020-05-01 06:00:00
2020,5,1,610,615,-5,1134,1143,-9,"DL",141,"N821DX","LAX","MSP",177,1535,6,15,2020-05-01 06:00:00
2020,5,1,640,645,-5,807,810,-3,"AA",205,"N400AN","LAX","PHX",56,370,6,45,2020-05-01 06:00:00
2020,5,1,641,645,-4,1343,1356,-13,"DL",100,"N306DN","LAX","ATL",224,1947,6,45,2020-05-01 06:00:00
2020,5,1,649,700,-11,919,957,-38,"AS",144,"N841VA","LAX","SEA",123,954,7,0,2020-05-01 07:00:00
2020,5,1,652,700,-8,1456,1521,-25,"DL",150,"N722TW","LAX","JFK",285,2475,7,0,2020-05-01 07:00:00
2020,5,1,659,705,-6,1413,1455,-42,"AA",200,"N972UY","LAX","CLT",240,2125,7,5,2020-05-01 07:00:00
2020,5,1,706,715,-9,930,958,-28,"DL",131,"N3748Y","LAX","SEA",125,954,7,15,2020-05-01 07:00:00
2020,5,1,706,715,-9,1439,1431,8,"DL",153,"N857DZ","LAX","DTW",227,1979,7,15,2020-05-01 07:00:00
2020,5,1,734,746,-12,933,957,-24,"DL",227,"N365NB","LAX","PDX",108,834,7,46,2020-05-01 07:00:00
2020,5,1,739,750,-11,845,911,-26,"DL",226,"N320NB","LAX","SFO",53,337,7,50,2020-05-01 07:00:00
2020,5,1,752,800,-8,1341,1409,-28,"AA",20,"N126AN","LAX","ORD",205,1744,8,0,2020-05-01 08:00:00
2020,5,1,755,800,-5,902,920,-18,"WN",294,"N264LV","LAX","OAK",54,337,8,0,2020-05-01 08:00:00
2020,5,1,800,800,0,1248,1300,-12,"WN",161,"N8577Z","LAX","DAL",153,1246,8,0,2020-05-01 08:00:00
2020,5,1,810,815,-5,910,926,-16,"OO",281,"N279SY","LAX","SJC",50,308,8,15,2020-05-01 08:00:00
2020,5,1,812,815,-3,1309,1321,-12,"AA",234,"N417AN","LAX","DFW",152,1235,8,15,2020-05-01 08:00:00
2020,5,1,813,820,-7,916,950,-34,"WN",183,"N700GS","LAX","SFO",53,337,8,20,2020-05-01 08:00:00
2020,5,1,813,820,-7,932,944,-12,"OO",274,"N287SY","LAX","SMF",61,373,8,20,2020-05-01 08:00:00
2020,5,1,816,815,1,1327,1329,-2,"UA",198,"N38459","LAX","IAH",166,1379,8,15,2020-05-01 08:00:00
2020,5,1,818,830,-12,1626,1659,-33,"AS",63,"N298AK","LAX","EWR",288,2454,8,30,2020-05-01 08:00:00
2020,5,1,824,831,-7,928,944,-16,"OO",272,"N300SY","LAX","LAS",45,236,8,31,2020-05-01 08:00:00
2020,5,1,827,820,7,1554,1607,-13,"UA",158,"N26902","LAX","IAD",252,2288,8,20,2020-05-01 08:00:00
2020,5,1,830,835,-5,1409,1444,-35,"UA",207,"N57857","LAX","ORD",200,1744,8,35,2020-05-01 08:00:00
2020,5,1,850,900,-10,1150,1206,-16,"AS",94,"N428AS","LAX","HNL",335,2556,9,0,2020-05-01 09:00:00
2020,5,1,852,855,-3,1133,1143,-10,"OO",287,"N276SY","LAX","ABQ",88,677,8,55,2020-05-01 08:00:00
2020,5,1,902,900,2,1130,1155,-25,"AS",79,"N478AS","LAX","SEA",123,954,9,0,2020-05-01 09:00:00
2020,5,1,907,915,-8,1647,1727,-40,"UA",225,"N12004","LAX","EWR",262,2454,9,15,2020-05-01 09:00:00
2020,5,1,916,921,-5,1642,1702,-20,"AA",120,"N980UY","LAX","CLT",245,2125,9,21,2020-05-01 09:00:00
2020,5,1,922,920,2,1631,1650,-19,"WN",122,"N8651A","LAX","ATL",230,1947,9,20,2020-05-01 09:00:00
2020,5,1,925,935,-10,1241,1258,-17,"UA",156,"N62895","LAX","DEN",104,862,9,35,2020-05-01 09:00:00
2020,5,1,938,945,-7,1249,1310,-21,"F9",47,"N318FR","LAX","DEN",112,862,9,45,2020-05-01 09:00:00
2020,5,1,1013,1020,-7,1123,1151,-28,"OO",263,"N171SY","LAX","SFO",55,337,10,20,2020-05-01 10:00:00
2020,5,1,1023,1025,-2,1132,1200,-28,"WN",42,"N8669B","LAX","SMF",61,373,10,25,2020-05-01 10:00:00
2020,5,1,1033,1035,-2,1315,1340,-25,"HA",2,"N374HA","LAX","HNL",326,2556,10,35,2020-05-01 10:00:00
2020,5,1,1042,855,107,1155,1017,98,"OO",282,"N298SY","LAX","PHX",58,370,8,55,2020-05-01 08:00:00
2020,5,1,1046,1050,-4,1338,1353,-15,"OO",258,"N179SY","LAX","BOI",94,674,10,50,2020-05-01 10:00:00
2020,5,1,1120,1125,-5,1340,1409,-29,"DL",164,"N3752","LAX","SEA",125,954,11,25,2020-05-01 11:00:00
2020,5,1,1127,1130,-3,1704,1725,-21,"WN",174,"N949WN","LAX","MDW",207,1750,11,30,2020-05-01 11:00:00
2020,5,1,1128,1130,-2,1616,1632,-16,"AA",228,"N140AN","LAX","DFW",149,1235,11,30,2020-05-01 11:00:00
2020,5,1,1128,1130,-2,1356,1410,-14,"DL",242,"N904DN","LAX","SLC",76,590,11,30,2020-05-01 11:00:00
2020,5,1,1153,1159,-6,1254,1313,-19,"AA",163,"N121AN","LAX","LAS",46,236,11,59,2020-05-01 11:00:00
2020,5,1,1154,1205,-11,1947,2029,-42,"B6",53,"N969JT","LAX","JFK",279,2475,12,5,2020-05-01 12:00:00
2020,5,1,1154,1205,-11,1731,1815,-44,"UA",52,"N33292","LAX","ORD",202,1744,12,5,2020-05-01 12:00:00
2020,5,1,1155,1200,-5,1457,1520,-23,"WN",5,"N933WN","LAX","DEN",108,862,12,0,2020-05-01 12:00:00
2020,5,1,1156,1158,-2,1930,1959,-29,"AA",129,"N123NN","LAX","MIA",265,2342,11,58,2020-05-01 11:00:00
2020,5,1,1205,1210,-5,1908,1928,-20,"DL",125,"N3758Y","LAX","DTW",226,1979,12,10,2020-05-01 12:00:00
2020,5,1,1214,1220,-6,1318,1341,-23,"DL",139,"N320NB","LAX","SFO",53,337,12,20,2020-05-01 12:00:00
2020,5,1,1217,1220,-3,1326,1340,-14,"WN",180,"N200WN","LAX","PHX",58,370,12,20,2020-05-01 12:00:00
2020,5,1,1234,1137,57,1945,1924,21,"AA",174,"N916US","LAX","CLT",237,2125,11,37,2020-05-01 11:00:00
2020,5,1,1236,1240,-4,1342,1410,-28,"WN",23,"N7735A","LAX","SFO",56,337,12,40,2020-05-01 12:00:00
2020,5,1,1247,1255,-8,1358,1420,-22,"WN",211,"N8302F","LAX","OAK",53,337,12,55,2020-05-01 12:00:00
2020,5,1,1251,1300,-9,1813,1824,-11,"DL",142,"N373DA","LAX","MSP",173,1535,13,0,2020-05-01 13:00:00
2020,5,1,1252,1255,-3,1408,1420,-12,"WN",182,"N294WN","LAX","SMF",63,373,12,55,2020-05-01 12:00:00
2020,5,1,1253,1255,-2,1351,1405,-14,"OO",283,"N300SY","LAX","LAS",44,236,12,55,2020-05-01 12:00:00
2020,5,1,1256,1300,-4,1840,1910,-30,"NK",86,"N530NK","LAX","ORD",204,1744,13,0,2020-05-01 13:00:00
2020,5,1,1314,1315,-1,1620,1630,-10,"UA",112,"N781UA","LAX","DEN",104,862,13,15,2020-05-01 13:00:00
2020,5,1,1320,1325,-5,1824,1844,-20,"UA",124,"N62892","LAX","IAH",164,1379,13,25,2020-05-01 13:00:00
2020,5,1,1322,1315,7,1837,1845,-8,"WN",43,"N8643A","LAX","STL",186,1592,13,15,2020-05-01 13:00:00
2020,5,1,1338,1345,-7,2106,2129,-23,"AA",170,"N973UY","LAX","CLT",245,2125,13,45,2020-05-01 13:00:00
2020,5,1,1342,1345,-3,1830,1846,-16,"NK",253,"N929NK","LAX","DFW",150,1235,13,45,2020-05-01 13:00:00
2020,5,1,1352,1345,7,2051,2055,-4,"DL",201,"N384DN","LAX","ATL",223,1947,13,45,2020-05-01 13:00:00
2020,5,1,1401,1350,11,1902,1905,-3,"WN",250,"N8617E","LAX","HOU",167,1390,13,50,2020-05-01 13:00:00
2020,5,1,1409,1415,-6,1612,1635,-23,"WN",208,"N204WN","LAX","PDX",113,834,14,15,2020-05-01 14:00:00
2020,5,1,1410,1415,-5,1518,1535,-17,"WN",98,"N8634A","LAX","OAK",54,337,14,15,2020-05-01 14:00:00
2020,5,1,1413,1245,88,1526,1410,76,"WN",83,"N438WN","LAX","TUS",62,451,12,45,2020-05-01 12:00:00
2020,5,1,1420,1423,-3,2000,2003,-3,"G4",32,"337NV","LAX","MEM",195,1619,14,23,2020-05-01 14:00:00
2020,5,1,1438,1445,-7,1550,1605,-15,"WN",278,"N755SA","LAX","SMF",63,373,14,45,2020-05-01 14:00:00
2020,5,1,1505,1510,-5,1744,1755,-11,"WN",179,"N8584Z","LAX","ABQ",85,677,15,10,2020-05-01 15:00:00
2020,5,1,1505,1510,-5,1610,1625,-15,"WN",220,"N445WN","LAX","RNO",55,391,15,10,2020-05-01 15:00:00
2020,5,1,1512,1515,-3,1948,2015,-27,"WN",55,"N210WN","LAX","DAL",144,1246,15,15,2020-05-01 15:00:00
2020,5,1,1512,1500,12,2052,2107,-15,"AA",46,"N174US","LAX","ORD",197,1744,15,0,2020-05-01 15:00:00
2020,5,1,1521,1530,-9,1623,1701,-38,"UA",222,"N827UA","LAX","SFO",50,337,15,30,2020-05-01 15:00:00
2020,5,1,1531,1541,-10,2321,2346,-25,"AA",15,"N572UW","LAX","PHL",275,2402,15,41,2020-05-01 15:00:00
2020,5,1,1541,1543,-2,2034,2045,-11,"AA",13,"N156AN","LAX","DFW",149,1235,15,43,2020-05-01 15:00:00
2020,5,1,1600,1600,0,1829,1855,-26,"AS",64,"N851VA","LAX","SEA",126,954,16,0,2020-05-01 16:00:00
2020,5,1,1619,1620,-1,2151,2215,-24,"WN",184,"N225WN","LAX","MDW",200,1750,16,20,2020-05-01 16:00:00
2020,5,1,1620,1625,-5,1913,1910,3,"DL",145,"N819DX","LAX","LIH",336,2615,16,25,2020-05-01 16:00:00
2020,5,1,1623,1635,-12,1730,1754,-24,"OO",268,"N179SY","LAX","SJC",50,308,16,35,2020-05-01 16:00:00
2020,5,1,1628,1612,16,2,2359,3,"AA",224,"N995AN","LAX","MCO",255,2218,16,12,2020-05-01 16:00:00
2020,5,1,1637,1640,-3,2130,2143,-13,"AA",243,"N182UW","LAX","DFW",152,1235,16,40,2020-05-01 16:00:00
2020,5,1,1639,1645,-6,1750,1810,-20,"WN",254,"N8600F","LAX","PHX",59,370,16,45,2020-05-01 16:00:00
2020,5,1,1642,1645,-3,1921,1920,1,"DL",121,"N820DX","LAX","OGG",318,2486,16,45,2020-05-01 16:00:00
2020,5,1,1642,1655,-13,1920,1939,-19,"DL",162,"N822DX","LAX","HNL",323,2556,16,55,2020-05-01 16:00:00
2020,5,1,1654,1700,-6,1930,1943,-13,"DL",169,"N3732J","LAX","SLC",80,590,17,0,2020-05-01 17:00:00
2020,5,1,1720,1730,-10,1836,1857,-21,"OO",261,"N188SY","LAX","SFO",59,337,17,30,2020-05-01 17:00:00
2020,5,1,1726,1730,-4,29,50,-21,"WN",74,"N8673F","LAX","ATL",229,1947,17,30,2020-05-01 17:00:00
2020,5,1,1734,1740,-6,1829,1845,-16,"WN",132,"N450WN","LAX","LAS",45,236,17,40,2020-05-01 17:00:00
2020,5,1,1737,1745,-8,1840,1900,-20,"WN",37,"N235WN","LAX","SJC",51,308,17,45,2020-05-01 17:00:00
2020,5,1,1748,1755,-7,2245,2300,-15,"WN",101,"N410WN","LAX","HOU",164,1390,17,55,2020-05-01 17:00:00
2020,5,1,1758,1800,-2,2238,2250,-12,"WN",213,"N8628A","LAX","DAL",149,1246,18,0,2020-05-01 18:00:00
2020,5,1,1758,1805,-7,1914,1928,-14,"OO",284,"N289SY","LAX","TUS",64,451,18,5,2020-05-01 18:00:00
2020,5,1,1838,1845,-7,2041,2059,-18,"DL",109,"N3751B","LAX","PDX",110,834,18,45,2020-05-01 18:00:00
2020,5,1,1838,1845,-7,1944,2020,-36,"UA",216,"N28457","LAX","SFO",54,337,18,45,2020-05-01 18:00:00
2020,5,1,1906,1914,-8,2130,2204,-34,"AA",62,"N776XF","LAX","SEA",123,954,19,14,2020-05-01 19:00:00
2020,5,1,1909,1915,-6,2132,2157,-25,"DL",190,"N904DN","LAX","SEA",128,954,19,15,2020-05-01 19:00:00
2020,5,1,1913,1920,-7,2019,2045,-26,"WN",193,"N275WN","LAX","SFO",55,337,19,20,2020-05-01 19:00:00
2020,5,1,1927,1935,-8,2242,2245,-3,"WN",175,"N8560Z","LAX","DEN",122,862,19,35,2020-05-01 19:00:00
2020,5,1,1934,1943,-9,2049,2109,-20,"AA",197,"N191UW","LAX","PHX",55,370,19,43,2020-05-01 19:00:00
2020,5,1,1950,1955,-5,27,45,-18,"WN",203,"N901WN","LAX","AUS",146,1242,19,55,2020-05-01 19:00:00
2020,5,1,2006,2015,-9,2116,2140,-24,"WN",177,"N7812G","LAX","SMF",62,373,20,15,2020-05-01 20:00:00
2020,5,1,2027,2030,-3,2144,2152,-8,"OO",275,"N271SY","LAX","SMF",64,373,20,30,2020-05-01 20:00:00
2020,5,1,2032,2040,-8,2139,2147,-8,"OO",286,"N300SY","LAX","SJC",51,308,20,40,2020-05-01 20:00:00
2020,5,1,2034,2040,-6,2144,2200,-16,"DL",219,"N355NB","LAX","SFO",56,337,20,40,2020-05-01 20:00:00
2020,5,1,2036,2040,-4,2137,2150,-13,"WN",197,"N918WN","LAX","SJC",53,308,20,40,2020-05-01 20:00:00
2020,5,1,2037,2045,-8,2201,2209,-8,"AA",166,"N838AW","LAX","PHX",59,370,20,45,2020-05-01 20:00:00
2020,5,1,2056,2100,-4,2351,10,-19,"WN",181,"N8650F","LAX","DEN",104,862,21,0,2020-05-01 21:00:00
2020,5,1,2155,2155,0,2241,2305,-24,"WN",117,"N8318F","LAX","LAS",37,236,21,55,2020-05-01 21:00:00
2020,5,1,2208,2215,-7,2314,2330,-16,"WN",130,"N452WN","LAX","OAK",52,337,22,15,2020-05-01 22:00:00
2020,5,1,2213,2223,-10,631,654,-23,"AA",232,"N988AL","LAX","BOS",295,2611,22,23,2020-05-01 22:00:00
2020,5,1,2217,2225,-8,614,632,-18,"AA",90,"N195UW","LAX","PHL",281,2402,22,25,2020-05-01 22:00:00
2020,5,1,2227,2229,-2,545,609,-24,"AA",192,"N509AY","LAX","CLT",242,2125,22,29,2020-05-01 22:00:00
2020,5,1,2248,2255,-7,657,713,-16,"UA",119,"N12116","LAX","EWR",289,2454,22,55,2020-05-01 22:00:00
